26,OPEN,The term "Catalyst Coordinator"  why not "funded proposer ?" and alternative names,Community Discussions,2021-12-03 14:19:44 +0000 UTC
25,OPEN,IOG Funded Cohort Communication Issues,Communication Issues,2021-12-01 13:43:13 +0000 UTC
24,OPEN,Essential FAQ for funded proposers,Coordinator Support insights,2021-12-01 13:32:46 +0000 UTC
23,OPEN,FAQ for Coordinator,Coordinator Support insights,2021-12-01 13:35:45 +0000 UTC
22,OPEN,BoostCamp overview Materials for Eastern Town Hall,Coordinator Support insights,2021-12-01 13:35:54 +0000 UTC
21,OPEN,Stablecoin conversion as down $1000,Coordinator Support insights,2021-12-01 13:36:04 +0000 UTC
20,OPEN,Regulation & tax compliance guidelines,Coordinator Support insights,2021-12-01 13:36:22 +0000 UTC
19,OPEN,More clarity as to when funds are being sent out,Coordinator Support insights,2021-12-01 13:36:34 +0000 UTC
18,OPEN,Intro to Cardano Foundation,Coordinator Support insights,2021-12-01 13:36:45 +0000 UTC
17,OPEN,Would be good to have (raw) voting data public,Coordinator Support insights,2021-12-01 13:36:56 +0000 UTC
16,OPEN,An introduction to the iohk developers would be nice,Coordinator Support insights,2021-12-01 13:37:08 +0000 UTC
15,OPEN,Support to plan and execute SEC-compliant token sale,Coordinator Support insights,2021-12-01 13:37:19 +0000 UTC
14,OPEN,Legal advice,Coordinator Support insights,2021-12-01 13:37:30 +0000 UTC
13,OPEN,Finance support for the next two project phases,Coordinator Support insights,2021-12-01 13:37:40 +0000 UTC
12,OPEN,A way to broadcast the events that we are holding to the broader Cardano community,Coordinator Support insights,2021-12-01 13:37:51 +0000 UTC
11,OPEN,Listings of community professionals in various areas like development  design  finance  etc,Coordinator Support insights,2021-12-01 13:38:02 +0000 UTC
10,OPEN,A line of communication or process for us to implement changes to Catalyst that we are funded for,Coordinator Support insights,2021-12-01 13:38:13 +0000 UTC
9,OPEN,Teams who are interested in using Glow to build their DApp,Coordinator Support insights,2021-12-01 13:38:25 +0000 UTC
8,OPEN,Looking forward to have Cardano build a platform where investors can fund startups,Coordinator Support insights,2021-12-01 13:38:38 +0000 UTC
7,OPEN,Wada core costs covered so Wada can focus on supporting and mentoring new projects.,Coordinator Support insights,2021-12-01 13:38:51 +0000 UTC
6,OPEN,Detailed receipts of payouts  amounts  for which proposal to help with accounting.,Coordinator Support insights,2021-12-01 13:39:02 +0000 UTC
5,OPEN,Contact with the IOG wallet lite UX team.,Coordinator Support insights,2021-12-01 13:39:14 +0000 UTC
4,OPEN,Possible paths to open investments to the project outside catalyst to be able to continue development,Coordinator Support insights,2021-12-01 13:39:24 +0000 UTC
3,OPEN,Open sourcing / availability of Atala PRISM API / SDK,Coordinator Support insights,2021-12-01 13:39:34 +0000 UTC
2,OPEN,Good Practice ? Convert your Catalyst ADA to stablecoin/fiat,Best Practice ?,2021-11-29 00:21:28 +0000 UTC
1,OPEN,Good Practice ? One Wallet per Proposal,Best Practice ?,2021-11-29 00:21:16 +0000 UTC
